,Insect_Estimate,CultivationType,Soil_Type,Category_Pesticide,Doses_Week,Weeks_Using,Weeks_Without,Predicted_Damage_In_Plantation
0,256,0,1,2,35,11.0,9,0
1,283,0,1,2,5,5.0,6,0
2,283,0,1,2,15,15.0,5,0
4,283,0,1,2,15,19.0,2,0
5,283,0,1,2,30,11.0,7,0
6,311,0,1,2,10,7.0,9,0
7,311,0,1,2,20,19.0,7,0
8,312,0,1,2,25,12.0,12,0
9,311,0,1,2,30,18.0,2,0
10,312,0,1,2,30,27.0,3,0
11,312,0,1,2,40,19.0,8,0
12,342,0,1,2,20,16.0,6,0
13,342,0,1,2,20,22.0,2,0
14,342,0,1,2,25,15.0,8,0
15,342,0,1,2,30,20.0,5,0
16,342,0,1,2,30,20.0,9,0
17,342,0,1,2,40,10.0,1,0
18,375,0,1,2,20,10.0,13,0
19,375,0,1,2,20,12.0,7,0
20,375,0,1,2,20,15.0,9,0
21,375,0,1,2,20,17.0,6,0
22,375,0,1,2,25,15.0,11,0
23,375,0,1,2,30,13.0,13,0
24,410,0,1,2,20,20.0,5,0
26,411,0,1,2,10,16.0,12,0
27,410,0,1,2,10,21.0,7,0
28,410,0,1,2,15,24.0,6,0
29,410,0,1,2,20,15.0,1,0
30,410,0,1,2,20,23.0,5,0
31,410,0,1,2,20,25.0,5,0
32,411,0,1,2,30,13.0,15,0
33,410,0,1,2,30,17.0,9,0
34,411,0,1,2,30,18.0,5,0
35,410,0,1,2,35,17.0,15,0
36,410,0,1,2,35,30.0,4,0
37,410,0,1,2,40,15.0,12,0
38,410,0,1,2,40,24.0,3,0
39,410,0,1,2,40,25.0,0,0
40,411,0,1,2,45,28.0,2,0
41,411,0,1,2,50,16.0,7,0
42,410,0,1,2,60,20.0,7,0
43,410,0,1,2,40,9.0,13,0
44,448,0,1,2,5,12.0,16,0
46,448,0,1,2,10,16.0,12,0
47,448,0,1,2,10,23.0,4,0
48,448,0,1,2,15,14.0,12,0
49,448,0,1,2,20,20.0,13,0
50,448,0,1,2,20,26.0,2,0
51,448,0,1,2,20,28.0,2,0
52,448,0,1,2,20,28.0,3,0
53,448,0,1,2,20,31.0,2,0
54,448,0,1,2,25,13.0,14,0
55,448,0,1,2,25,15.0,6,0
56,448,0,1,2,30,25.0,0,0
58,448,0,1,2,30,25.0,7,0
59,448,0,1,2,40,16.0,13,0
60,448,0,1,2,40,18.0,8,0
61,448,0,1,2,40,30.0,1,0
62,448,0,1,2,40,36.0,2,0
63,488,0,1,2,5,20.0,12,0
64,488,0,1,2,5,10.0,16,0
65,488,0,1,2,5,16.0,16,0
66,488,0,1,2,5,17.0,14,0
67,488,0,1,2,5,23.0,6,0
68,488,0,1,2,15,5.0,17,0
69,488,0,1,2,15,20.0,11,0
70,488,0,1,2,20,15.0,2,0
71,488,0,1,2,20,23.0,3,0
72,488,0,1,2,20,23.0,4,0
73,488,0,1,2,20,30.0,0,0
74,488,0,1,2,25,13.0,15,0
75,488,0,1,2,25,15.0,14,0
76,488,0,1,2,25,25.0,5,0
77,489,0,1,2,30,15.0,14,0
78,488,0,1,2,30,22.0,3,0
79,488,0,1,2,30,23.0,5,0
80,488,0,1,2,30,24.0,3,0
81,488,0,1,2,30,26.0,4,0
82,488,0,1,2,35,27.0,0,0
83,488,0,1,2,40,19.0,8,0
84,488,0,1,2,40,22.0,2,0
85,488,0,1,2,40,22.0,3,0
86,489,0,1,2,45,19.0,11,0
87,488,0,1,2,50,12.0,14,0
88,488,0,1,2,50,18.0,14,0
89,488,0,1,2,50,21.0,8,0
90,488,0,1,2,50,30.0,2,0
91,488,0,1,2,80,19.0,10,0
92,531,0,1,2,10,11.0,16,0
93,531,0,1,2,10,22.0,8,0
94,531,0,1,2,10,23.0,8,0
95,531,0,1,2,20,13.0,17,0
96,531,0,1,2,20,17.0,12,0
97,531,0,1,2,20,17.0,16,0
100,531,0,1,2,20,21.0,1,0
101,531,0,1,2,25,11.0,14,0
102,531,0,1,2,25,22.0,8,0
103,531,0,1,2,30,16.0,10,0
104,531,0,1,2,30,23.0,12,0
105,531,0,1,2,35,22.0,3,0
106,531,0,1,2,35,25.0,7,0
107,531,0,1,2,40,14.0,15,0
108,531,0,1,2,40,23.0,6,0
110,577,0,1,2,45,16.0,9,0
111,577,0,1,2,5,14.0,0,0
112,577,0,1,2,5,25.0,10,0
113,577,0,1,2,5,29.0,2,0
114,577,0,1,2,10,23.0,8,0
115,577,0,1,2,15,20.0,11,0
116,577,0,1,2,15,25.0,4,0
117,577,0,1,2,20,11.0,14,0
118,577,0,1,2,20,13.0,15,0
119,577,0,1,2,20,20.0,4,0
120,577,0,1,2,25,30.0,7,0
122,577,0,1,2,30,10.0,18,0
123,577,0,1,2,30,20.0,9,0
124,577,0,1,2,30,25.0,11,0
125,577,0,1,2,30,26.0,0,0
126,577,0,1,2,40,17.0,15,0
127,577,0,1,2,50,28.0,5,0
128,577,0,1,2,60,25.0,4,0
129,577,0,1,2,20,12.0,15,0
130,626,0,1,2,10,6.0,19,0
132,625,0,1,2,15,15.0,20,0
133,626,0,1,2,15,22.0,8,0
134,626,0,1,2,20,9.0,18,0
135,625,0,1,2,20,16.0,16,0
136,625,0,1,2,20,21.0,1,0
137,626,0,1,2,20,24.0,14,0
138,626,0,1,2,20,27.0,14,0
139,625,0,1,2,20,30.0,3,0
140,625,0,1,2,25,14.0,20,0
141,625,0,1,2,25,28.0,8,0
142,625,0,1,2,25,30.0,0,0
144,625,0,1,2,30,30.0,10,0
145,625,0,1,2,30,31.0,0,0
147,625,0,1,2,40,12.0,18,0
148,625,0,1,2,40,18.0,6,0
149,626,0,1,2,40,21.0,2,0
150,625,0,1,2,40,22.0,8,0
151,625,0,1,2,40,25.0,0,0
152,626,0,1,2,50,17.0,20,0
153,625,0,1,2,50,24.0,5,0
154,625,0,1,2,60,25.0,0,0
155,677,0,1,2,5,6.0,19,0
156,677,0,1,2,5,21.0,14,0
157,677,0,1,2,10,15.0,12,0
158,677,0,1,2,15,11.0,19,0
159,677,0,1,2,15,18.0,12,0
160,677,0,1,2,15,36.0,0,0
162,677,0,1,2,20,22.0,8,0
163,677,0,1,2,20,35.0,2,0
164,677,0,1,2,25,17.0,1,0
165,677,0,1,2,25,20.0,10,0
166,677,0,1,2,30,10.0,6,0
167,677,0,1,2,30,14.0,18,0
168,677,0,1,2,30,35.0,0,0
169,677,0,1,2,40,11.0,20,0
171,677,0,1,2,50,21.0,2,0
172,677,0,1,2,50,21.0,9,0
173,677,0,1,2,60,22.0,10,0
174,677,0,1,2,60,31.0,5,0
175,732,0,1,2,25,19.0,12,0
176,731,0,1,2,5,12.0,15,0
177,732,0,1,2,10,19.0,12,0
178,732,0,1,2,15,8.0,20,0
179,732,0,1,2,15,20.0,18,0
180,732,0,1,2,15,28.0,6,0
181,731,0,1,2,20,7.0,17,0
182,732,0,1,2,20,15.0,6,0
183,732,0,1,2,20,17.0,15,0
184,732,0,1,2,20,19.0,10,0
185,731,0,1,2,20,22.0,7,0
186,731,0,1,2,20,25.0,7,0
187,732,0,1,2,20,26.0,10,0
188,731,0,1,2,20,30.0,10,0
189,732,0,1,2,20,31.0,13,0
191,732,0,1,2,35,17.0,21,0
192,732,0,1,2,40,21.0,14,0
193,732,0,1,2,40,22.0,14,0
194,731,0,1,2,40,23.0,7,0
195,731,0,1,2,40,29.0,0,0
196,731,0,1,2,40,30.0,0,0
197,732,0,1,2,40,32.0,7,0
198,731,0,1,2,50,23.0,10,0
199,731,0,1,2,50,23.0,13,0
200,731,0,1,2,50,24.0,13,0
201,731,0,1,2,60,28.0,7,0
203,789,0,1,2,10,7.0,23,0
204,790,0,1,2,10,8.0,21,0
205,789,0,1,2,10,19.0,18,0
206,790,0,1,2,10,26.0,13,0
207,789,0,1,2,15,16.0,16,0
208,789,0,1,2,15,17.0,20,0
209,790,0,1,2,15,23.0,12,0
210,789,0,1,2,20,8.0,23,0
211,789,0,1,2,20,20.0,15,0
212,789,0,1,2,25,24.0,14,0
214,790,0,1,2,30,16.0,23,0
215,789,0,1,2,30,28.0,9,0
216,789,0,1,2,30,30.0,10,0
217,790,0,1,2,30,32.0,5,0
218,790,0,1,2,35,26.0,13,0
219,790,0,1,2,40,33.0,5,0
220,790,0,1,2,55,30.0,6,0
221,790,0,1,2,60,23.0,10,0
222,790,0,1,2,70,39.0,0,0
224,851,0,1,2,10,11.0,22,0
225,851,0,1,2,10,13.0,22,0
227,851,0,1,2,15,11.0,22,0
228,850,0,1,2,15,15.0,18,0
229,851,0,1,2,15,18.0,16,0
230,851,0,1,2,15,20.0,14,0
231,851,0,1,2,15,32.0,1,0
232,851,0,1,2,20,15.0,24,0
233,851,0,1,2,20,16.0,6,0
234,850,0,1,2,20,20.0,13,0
235,850,0,1,2,20,21.0,20,0
236,850,0,1,2,20,26.0,12,0
237,851,0,1,2,20,28.0,14,0
239,851,0,1,2,25,30.0,2,0
240,851,0,1,2,25,30.0,10,0
241,851,0,1,2,25,33.0,4,0
242,851,0,1,2,30,35.0,5,0
243,851,0,1,2,35,17.0,19,0
244,851,0,1,2,35,25.0,3,0
245,851,0,1,2,40,15.0,9,0
246,851,0,1,2,40,20.0,21,0
248,850,0,1,2,40,34.0,4,0
249,851,0,1,2,50,17.0,21,0
250,850,0,1,2,50,19.0,21,0
251,850,0,1,2,50,31.0,3,0
252,851,0,1,2,60,14.0,19,0
253,851,0,1,2,60,15.0,20,0
255,850,0,1,2,60,27.0,6,0
256,916,0,1,2,10,11.0,17,0
257,916,0,1,2,10,13.0,22,0
258,916,0,1,2,10,20.0,5,0
260,915,0,1,2,20,17.0,16,0
261,915,0,1,2,20,22.0,1,0
262,916,0,1,2,25,33.0,11,0
263,915,0,1,2,30,10.0,20,0
264,915,0,1,2,35,16.0,20,0
266,915,0,1,2,40,30.0,9,0
267,915,0,1,2,40,31.0,12,0
268,915,0,1,2,40,34.0,8,0
269,915,0,1,2,40,35.0,10,0
270,915,0,1,2,50,20.0,6,0
271,916,0,1,2,50,27.0,15,0
272,915,0,1,2,60,13.0,20,0
273,915,0,1,2,60,22.0,16,0
274,915,0,1,2,60,26.0,16,0
275,915,0,1,2,60,35.0,0,0
276,915,0,1,2,60,35.0,5,0
277,915,0,1,2,65,38.0,1,0
279,915,0,1,2,80,25.0,14,0
280,915,0,1,2,30,26.0,12,0
281,915,0,1,2,40,35.0,5,0
282,984,0,1,2,30,23.0,11,0
283,984,0,1,2,60,20.0,17,0
284,984,0,1,2,5,17.0,20,0
285,984,0,1,2,5,17.0,21,0
286,984,0,1,2,10,19.0,17,0
287,984,0,1,2,10,26.0,13,0
288,984,0,1,2,15,15.0,21,0
289,984,0,1,2,15,17.0,21,0
290,984,0,1,2,20,13.0,24,0
291,984,0,1,2,20,15.0,25,0
292,984,0,1,2,20,20.0,11,0
294,984,0,1,2,25,17.0,20,0
295,984,0,1,2,25,26.0,16,0
296,984,0,1,2,30,12.0,12,0
297,984,0,1,2,30,18.0,21,0
298,984,0,1,2,30,19.0,14,0
300,984,0,1,2,30,32.0,2,0
301,984,0,1,2,30,39.0,0,0
302,984,0,1,2,30,40.0,1,0
303,984,0,1,2,40,10.0,26,0
304,984,0,1,2,40,15.0,16,0
305,984,0,1,2,40,20.0,8,0
306,984,0,1,2,40,29.0,10,0
307,984,0,1,2,50,29.0,11,0
308,984,0,1,2,50,37.0,4,0
309,984,0,1,2,55,30.0,12,0
310,984,0,1,2,60,5.0,1,0
311,984,0,1,2,60,16.0,19,0
312,984,0,1,2,60,17.0,18,0
313,984,0,1,2,60,24.0,10,0
314,984,0,1,2,70,39.0,0,0
315,984,0,1,2,40,22.0,16,0
316,1056,0,1,2,60,20.0,17,0
317,1056,0,1,2,5,13.0,19,0
318,1056,0,1,2,5,19.0,17,0
319,1056,0,1,2,10,12.0,26,0
320,1056,0,1,2,10,24.0,14,0
321,1056,0,1,2,10,27.0,12,0
322,1056,0,1,2,15,21.0,10,0
323,1056,0,1,2,15,32.0,9,0
324,1056,0,1,2,15,34.0,11,0
325,1056,0,1,2,20,15.0,17,0
326,1056,0,1,2,20,20.0,13,0
327,1056,0,1,2,20,22.0,16,0
328,1056,0,1,2,20,35.0,2,0
329,1056,0,1,2,25,20.0,17,0
330,1056,0,1,2,30,16.0,18,0
331,1056,0,1,2,30,21.0,18,0
332,1056,0,1,2,30,26.0,20,0
334,1056,0,1,2,30,40.0,1,0
335,1056,0,1,2,35,43.0,0,0
336,1056,0,1,2,40,16.0,22,0
337,1056,0,1,2,40,22.0,20,0
339,1056,0,1,2,40,36.0,7,0
