@relation Safra_2018_2019

@attribute Estimativa_de_Insetos real
@attribute Tipo_de_Cultivo {0,1}
@attribute Tipo_de_Solo {0,1}
@attribute Categoria_Pesticida {1,2,3}
@attribute Doses_Semana real
@attribute Semanas_Utilizando real
@attribute Semanas_Sem_Uso real
@attribute Temporada {1,2,3}
@attribute dano_na_plantacao {0,1,2}

@data
188,1,0,1,0,0,0,1,0
209,1,0,1,0,0,0,2,1
257,1,0,1,0,0,0,2,1
257,1,1,1,0,0,0,2,1
342,1,0,1,0,0,0,2,1
448,0,1,1,0,0,0,2,1
448,0,1,1,0,0,0,2,1
577,1,0,1,0,0,0,1,2
731,0,0,1,0,0,0,2,0
1132,1,0,1,0,0,0,1,2
1212,1,0,1,0,0,0,3,0
1575,0,0,1,0,0,0,1,1
1575,0,1,1,0,0,0,2,1
1575,1,1,1,0,0,0,2,1
1575,1,1,1,0,0,0,2,2
1785,1,1,1,0,0,0,2,1
2138,0,1,1,0,0,0,1,1
2401,0,1,1,0,0,0,1,1
2401,1,1,1,0,0,0,2,1
2401,1,1,1,0,0,0,2,1
2999,0,1,1,0,0,0,3,1
3516,1,0,1,0,0,0,2,0
3895,1,1,1,0,0,0,1,1
4096,1,1,1,0,0,0,2,1
150,0,0,3,30,26,0,2,0
151,0,0,3,40,20,0,1,0
150,0,0,3,60,15,0,2,0
168,0,1,3,20,14,0,2,0
168,0,1,3,20,15,0,2,1
188,0,0,3,25,19,0,1,0
188,0,1,3,40,24,0,3,0
209,0,1,3,20,8,0,3,0
232,0,0,3,45,23,0,2,0
231,0,1,3,30,25,0,2,0
256,0,0,3,20,28,0,3,0
257,0,0,3,30,0,0,2,0
256,0,0,3,40,29,0,1,0
283,0,0,3,25,22,0,1,0
283,0,0,3,50,24,0,2,0
283,0,1,3,15,24,0,3,0
283,0,1,3,45,20,0,1,0
312,0,0,3,10,20,0,3,0
311,0,0,3,20,25,0,1,0
312,0,1,3,15,21,0,2,0
312,0,1,3,15,24,0,2,0
342,0,0,3,60,28,0,2,0
342,0,1,3,40,17,0,3,0
375,0,0,3,50,30,0,2,0
375,0,1,3,5,22,0,1,0
375,0,1,3,20,23,0,2,0
375,0,1,3,10,25,0,3,1
411,0,0,3,30,0,0,2,0
410,0,0,3,50,35,0,2,0
410,0,0,3,20,32,0,3,1
410,0,1,3,5,24,0,3,0
448,0,0,3,5,27,0,1,0
448,0,0,3,20,16,0,3,0
448,0,0,3,30,24,0,2,0
448,0,0,3,35,28,0,1,0
448,0,0,3,10,0,0,2,1
448,0,0,3,30,0,0,3,1
448,0,1,3,20,32,0,2,0
448,0,1,3,25,16,0,1,0
448,0,1,3,25,21,0,2,0
448,0,1,3,40,25,0,1,0
448,0,1,3,45,0,0,2,0
448,0,1,3,60,31,0,1,0
448,0,1,3,70,28,0,3,0
488,0,0,3,15,32,0,3,0
488,0,0,3,25,27,0,3,0
488,0,0,3,30,26,0,2,0
488,0,0,3,35,30,0,3,0
488,0,0,3,60,33,0,1,0
488,0,0,3,10,17,0,1,1
488,0,0,3,20,33,0,1,1
488,0,1,3,10,33,0,2,0
488,0,1,3,20,32,0,2,0
489,0,1,3,25,24,0,1,0
488,0,1,3,60,32,0,1,1
531,0,0,3,5,27,0,1,0
531,0,0,3,20,0,0,1,0
531,0,0,3,50,30,0,2,0
531,0,0,3,20,34,0,1,1
531,0,1,3,5,17,0,1,0
531,0,1,3,20,33,0,1,0
531,0,1,3,60,19,0,2,0
577,0,0,3,20,33,0,2,0
577,0,0,3,50,33,0,3,0
577,0,1,3,30,29,0,2,0
577,0,1,3,30,39,0,1,0
577,0,1,3,55,33,0,1,0
577,0,1,3,60,29,0,1,0
577,0,1,3,15,34,0,2,1
626,0,0,3,20,38,0,2,0
625,0,0,3,30,42,0,3,0
625,0,0,3,40,15,0,1,0
625,0,0,3,50,40,0,2,0
626,0,1,3,5,32,0,1,0
625,0,1,3,20,23,0,3,0
625,0,1,3,25,32,0,3,0
626,0,1,3,80,32,0,2,0
626,0,1,3,20,31,0,2,1
625,0,1,3,10,33,0,2,1
625,0,1,3,30,29,0,1,2
677,0,0,3,15,41,0,3,0
677,0,0,3,20,41,0,2,0
677,0,0,3,50,35,0,2,1
677,0,1,3,35,25,0,2,0
677,0,1,3,40,31,0,2,0
677,0,1,3,50,38,0,2,0
732,0,0,3,20,36,0,2,1
732,0,0,3,40,31,0,2,1
732,0,0,3,50,30,0,2,2
731,0,1,3,10,16,0,3,0
731,0,1,3,10,34,0,1,0
731,0,1,3,60,40,0,2,0
732,0,1,3,30,36,0,3,1
789,0,0,3,40,44,0,3,0
789,0,0,3,50,30,0,2,0
790,0,0,3,60,40,0,2,0
789,0,0,3,25,34,0,1,1
790,0,0,3,20,33,0,2,1
789,0,0,3,60,40,0,1,1
789,0,1,3,25,27,0,2,0
790,0,1,3,40,28,0,1,0
789,0,1,3,30,30,0,1,1
789,0,1,3,20,0,0,2,1
