Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Categoria_Pesticida__1,Categoria_Pesticida__2,Categoria_Pesticida__3,Temporada__1,Temporada__2,Temporada__3,dano_na_plantacao
SCROP80001,256,0,1,35,11.0,9,0,1,0,1,0,0,0
SCROP80002,283,0,1,5,5.0,6,0,1,0,1,0,0,0
SCROP80003,283,0,1,15,15.0,5,0,1,0,0,1,0,0
SCROP80004,283,0,1,15,27.0,7,0,1,0,0,1,0,0
SCROP80005,283,0,1,15,19.0,2,0,1,0,1,0,0,0
SCROP80006,283,0,1,30,11.0,7,0,1,0,0,0,1,0
SCROP80007,311,0,1,10,7.0,9,0,1,0,1,0,0,0
SCROP80008,311,0,1,20,19.0,7,0,1,0,0,1,0,0
SCROP80009,312,0,1,25,12.0,12,0,1,0,0,0,1,0
SCROP80010,311,0,1,30,18.0,2,0,1,0,0,0,1,0
SCROP80011,312,0,1,30,27.0,3,0,1,0,0,1,0,0
SCROP80012,312,0,1,40,19.0,8,0,1,0,0,1,0,0
SCROP80013,342,0,1,20,16.0,6,0,1,0,0,1,0,0
SCROP80014,342,0,1,20,22.0,2,0,1,0,0,0,1,0
SCROP80015,342,0,1,25,15.0,8,0,1,0,0,1,0,0
SCROP80016,342,0,1,30,20.0,5,0,1,0,1,0,0,0
SCROP80017,342,0,1,30,20.0,9,0,1,0,0,0,1,0
SCROP80018,342,0,1,40,10.0,1,0,1,0,0,0,1,0
SCROP80019,375,0,1,20,10.0,13,0,1,0,1,0,0,0
SCROP80020,375,0,1,20,12.0,7,0,1,0,0,0,1,0
SCROP80021,375,0,1,20,15.0,9,0,1,0,1,0,0,0
SCROP80022,375,0,1,20,17.0,6,0,1,0,0,1,0,0
SCROP80023,375,0,1,25,15.0,11,0,1,0,1,0,0,0
SCROP80024,375,0,1,30,13.0,13,0,1,0,0,1,0,0
SCROP80025,410,0,1,20,20.0,5,0,1,0,0,1,0,0
SCROP80026,410,0,1,80,27.0,6,0,1,0,1,0,0,0
SCROP80027,411,0,1,10,16.0,12,0,1,0,0,0,1,0
SCROP80028,410,0,1,10,21.0,7,0,1,0,0,1,0,0
SCROP80029,410,0,1,15,24.0,6,0,1,0,0,0,1,0
SCROP80030,410,0,1,20,15.0,1,0,1,0,0,0,1,0
SCROP80031,410,0,1,20,23.0,5,0,1,0,0,0,1,0
SCROP80032,410,0,1,20,25.0,5,0,1,0,1,0,0,0
SCROP80033,411,0,1,30,13.0,15,0,1,0,1,0,0,0
SCROP80034,410,0,1,30,17.0,9,0,1,0,1,0,0,0
SCROP80035,411,0,1,30,18.0,5,0,1,0,0,0,1,0
SCROP80036,410,0,1,35,17.0,15,0,1,0,0,0,1,0
SCROP80037,410,0,1,35,30.0,4,0,1,0,1,0,0,0
SCROP80038,410,0,1,40,15.0,12,0,1,0,0,1,0,0
SCROP80039,410,0,1,40,24.0,3,0,1,0,1,0,0,0
SCROP80040,410,0,1,40,25.0,0,0,1,0,1,0,0,0
SCROP80041,411,0,1,45,28.0,2,0,1,0,0,1,0,0
SCROP80042,411,0,1,50,16.0,7,0,1,0,1,0,0,0
SCROP80043,410,0,1,60,20.0,7,0,1,0,0,0,1,0
SCROP80044,410,0,1,40,9.0,13,0,1,0,0,1,0,0
SCROP80045,448,0,1,5,12.0,16,0,1,0,1,0,0,0
SCROP80046,448,0,1,10,27.0,16,0,1,0,0,1,0,0
SCROP80047,448,0,1,10,16.0,12,0,1,0,1,0,0,0
SCROP80048,448,0,1,10,23.0,4,0,1,0,0,0,1,0
SCROP80049,448,0,1,15,14.0,12,0,1,0,1,0,0,0
SCROP80050,448,0,1,20,20.0,13,0,1,0,0,1,0,0
SCROP80051,448,0,1,20,26.0,2,0,1,0,1,0,0,0
SCROP80052,448,0,1,20,28.0,2,0,1,0,0,1,0,0
SCROP80053,448,0,1,20,28.0,3,0,1,0,0,1,0,0
SCROP80054,448,0,1,20,31.0,2,0,1,0,1,0,0,0
SCROP80055,448,0,1,25,13.0,14,0,1,0,1,0,0,0
SCROP80056,448,0,1,25,15.0,6,0,1,0,0,1,0,0
SCROP80057,448,0,1,30,25.0,0,0,1,0,0,1,0,0
SCROP80058,448,0,1,30,27.0,2,0,1,0,0,0,1,0
SCROP80059,448,0,1,30,25.0,7,0,1,0,0,1,0,0
SCROP80060,448,0,1,40,16.0,13,0,1,0,1,0,0,0
SCROP80061,448,0,1,40,18.0,8,0,1,0,1,0,0,0
SCROP80062,448,0,1,40,30.0,1,0,1,0,1,0,0,0
SCROP80063,448,0,1,40,36.0,2,0,1,0,1,0,0,0
SCROP80064,488,0,1,5,20.0,12,0,1,0,0,1,0,0
SCROP80065,488,0,1,5,10.0,16,0,1,0,0,1,0,0
SCROP80066,488,0,1,5,16.0,16,0,1,0,1,0,0,0
SCROP80067,488,0,1,5,17.0,14,0,1,0,1,0,0,0
SCROP80068,488,0,1,5,23.0,6,0,1,0,0,1,0,0
SCROP80069,488,0,1,15,5.0,17,0,1,0,1,0,0,0
SCROP80070,488,0,1,15,20.0,11,0,1,0,0,1,0,0
SCROP80071,488,0,1,20,15.0,2,0,1,0,1,0,0,0
SCROP80072,488,0,1,20,23.0,3,0,1,0,0,1,0,0
SCROP80073,488,0,1,20,23.0,4,0,1,0,0,0,1,0
SCROP80074,488,0,1,20,30.0,0,0,1,0,0,0,1,0
SCROP80075,488,0,1,25,13.0,15,0,1,0,0,1,0,0
SCROP80076,488,0,1,25,15.0,14,0,1,0,0,1,0,0
SCROP80077,488,0,1,25,25.0,5,0,1,0,0,1,0,0
SCROP80078,489,0,1,30,15.0,14,0,1,0,1,0,0,0
SCROP80079,488,0,1,30,22.0,3,0,1,0,1,0,0,0
SCROP80080,488,0,1,30,23.0,5,0,1,0,0,1,0,0
SCROP80081,488,0,1,30,24.0,3,0,1,0,0,1,0,0
SCROP80082,488,0,1,30,26.0,4,0,1,0,1,0,0,0
SCROP80083,488,0,1,35,27.0,0,0,1,0,0,1,0,0
SCROP80084,488,0,1,40,19.0,8,0,1,0,0,0,1,0
SCROP80085,488,0,1,40,22.0,2,0,1,0,0,1,0,0
SCROP80086,488,0,1,40,22.0,3,0,1,0,1,0,0,0
SCROP80087,489,0,1,45,19.0,11,0,1,0,0,0,1,0
SCROP80088,488,0,1,50,12.0,14,0,1,0,0,1,0,0
