,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,previsao_dano_na_plantacao
80000,SCROP80001,256,0,1,2,35,11.0,9,1,0
80001,SCROP80002,283,0,1,2,5,5.0,6,1,0
80002,SCROP80003,283,0,1,2,15,15.0,5,2,0
80003,SCROP80004,283,0,1,2,15,,7,2,0
80004,SCROP80005,283,0,1,2,15,19.0,2,1,0
80005,SCROP80006,283,0,1,2,30,11.0,7,3,0
80006,SCROP80007,311,0,1,2,10,7.0,9,1,0
80007,SCROP80008,311,0,1,2,20,19.0,7,2,0
80008,SCROP80009,312,0,1,2,25,12.0,12,3,0
80009,SCROP80010,311,0,1,2,30,18.0,2,3,0
80010,SCROP80011,312,0,1,2,30,27.0,3,2,0
80011,SCROP80012,312,0,1,2,40,19.0,8,2,0
80012,SCROP80013,342,0,1,2,20,16.0,6,2,0
80013,SCROP80014,342,0,1,2,20,22.0,2,3,0
80014,SCROP80015,342,0,1,2,25,15.0,8,2,0
80015,SCROP80016,342,0,1,2,30,20.0,5,1,0
80016,SCROP80017,342,0,1,2,30,20.0,9,3,0
80017,SCROP80018,342,0,1,2,40,10.0,1,3,0
80018,SCROP80019,375,0,1,2,20,10.0,13,1,0
80019,SCROP80020,375,0,1,2,20,12.0,7,3,0
80020,SCROP80021,375,0,1,2,20,15.0,9,1,0
80021,SCROP80022,375,0,1,2,20,17.0,6,2,0
80022,SCROP80023,375,0,1,2,25,15.0,11,1,0
80023,SCROP80024,375,0,1,2,30,13.0,13,2,0
80024,SCROP80025,410,0,1,2,20,20.0,5,2,0
80025,SCROP80026,410,0,1,2,80,,6,1,0
80026,SCROP80027,411,0,1,2,10,16.0,12,3,0
80027,SCROP80028,410,0,1,2,10,21.0,7,2,0
80028,SCROP80029,410,0,1,2,15,24.0,6,3,0
80029,SCROP80030,410,0,1,2,20,15.0,1,3,0
80030,SCROP80031,410,0,1,2,20,23.0,5,3,0
80031,SCROP80032,410,0,1,2,20,25.0,5,1,0
80032,SCROP80033,411,0,1,2,30,13.0,15,1,0
80033,SCROP80034,410,0,1,2,30,17.0,9,1,0
80034,SCROP80035,411,0,1,2,30,18.0,5,3,0
80035,SCROP80036,410,0,1,2,35,17.0,15,3,0
