,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
0,SCROP80001,256,0,1,2,35,11.0,9,1,0
1,SCROP80002,283,0,1,2,5,5.0,6,1,0
2,SCROP80003,283,0,1,2,15,15.0,5,2,0
3,SCROP80005,283,0,1,2,15,19.0,2,1,0
4,SCROP80006,283,0,1,2,30,11.0,7,3,0
5,SCROP80007,311,0,1,2,10,7.0,9,1,0
6,SCROP80008,311,0,1,2,20,19.0,7,2,0
7,SCROP80009,312,0,1,2,25,12.0,12,3,0
8,SCROP80010,311,0,1,2,30,18.0,2,3,0
9,SCROP80011,312,0,1,2,30,27.0,3,2,0
10,SCROP80012,312,0,1,2,40,19.0,8,2,0
11,SCROP80013,342,0,1,2,20,16.0,6,2,0
12,SCROP80014,342,0,1,2,20,22.0,2,3,0
13,SCROP80015,342,0,1,2,25,15.0,8,2,0
14,SCROP80016,342,0,1,2,30,20.0,5,1,0
15,SCROP80017,342,0,1,2,30,20.0,9,3,0
16,SCROP80018,342,0,1,2,40,10.0,1,3,0
17,SCROP80019,375,0,1,2,20,10.0,13,1,0
18,SCROP80020,375,0,1,2,20,12.0,7,3,0
19,SCROP80021,375,0,1,2,20,15.0,9,1,0
20,SCROP80022,375,0,1,2,20,17.0,6,2,0
21,SCROP80023,375,0,1,2,25,15.0,11,1,0
22,SCROP80024,375,0,1,2,30,13.0,13,2,0
23,SCROP80025,410,0,1,2,20,20.0,5,2,0
24,SCROP80027,411,0,1,2,10,16.0,12,3,0
25,SCROP80028,410,0,1,2,10,21.0,7,2,0
26,SCROP80029,410,0,1,2,15,24.0,6,3,0
27,SCROP80030,410,0,1,2,20,15.0,1,3,0
28,SCROP80031,410,0,1,2,20,23.0,5,3,0
29,SCROP80032,410,0,1,2,20,25.0,5,1,0
30,SCROP80033,411,0,1,2,30,13.0,15,1,0
31,SCROP80034,410,0,1,2,30,17.0,9,1,0
32,SCROP80035,411,0,1,2,30,18.0,5,3,0
33,SCROP80036,410,0,1,2,35,17.0,15,3,0
34,SCROP80037,410,0,1,2,35,30.0,4,1,0
35,SCROP80038,410,0,1,2,40,15.0,12,2,0
36,SCROP80039,410,0,1,2,40,24.0,3,1,0
37,SCROP80040,410,0,1,2,40,25.0,0,1,0
38,SCROP80041,411,0,1,2,45,28.0,2,2,0
39,SCROP80042,411,0,1,2,50,16.0,7,1,0
40,SCROP80043,410,0,1,2,60,20.0,7,3,0
41,SCROP80044,410,0,1,2,40,9.0,13,2,0
42,SCROP80045,448,0,1,2,5,12.0,16,1,0
43,SCROP80047,448,0,1,2,10,16.0,12,1,0
44,SCROP80048,448,0,1,2,10,23.0,4,3,0
45,SCROP80049,448,0,1,2,15,14.0,12,1,0
46,SCROP80050,448,0,1,2,20,20.0,13,2,0
47,SCROP80051,448,0,1,2,20,26.0,2,1,0
48,SCROP80052,448,0,1,2,20,28.0,2,2,0
49,SCROP80053,448,0,1,2,20,28.0,3,2,0
50,SCROP80054,448,0,1,2,20,31.0,2,1,0
51,SCROP80055,448,0,1,2,25,13.0,14,1,0
52,SCROP80056,448,0,1,2,25,15.0,6,2,0
53,SCROP80057,448,0,1,2,30,25.0,0,2,0
54,SCROP80059,448,0,1,2,30,25.0,7,2,0
55,SCROP80060,448,0,1,2,40,16.0,13,1,0
56,SCROP80061,448,0,1,2,40,18.0,8,1,0
57,SCROP80062,448,0,1,2,40,30.0,1,1,0
58,SCROP80063,448,0,1,2,40,36.0,2,1,0
59,SCROP80064,488,0,1,2,5,20.0,12,2,0
60,SCROP80065,488,0,1,2,5,10.0,16,2,0
61,SCROP80066,488,0,1,2,5,16.0,16,1,0
62,SCROP80067,488,0,1,2,5,17.0,14,1,0
63,SCROP80068,488,0,1,2,5,23.0,6,2,0
64,SCROP80069,488,0,1,2,15,5.0,17,1,0
65,SCROP80070,488,0,1,2,15,20.0,11,2,0
66,SCROP80071,488,0,1,2,20,15.0,2,1,0
67,SCROP80072,488,0,1,2,20,23.0,3,2,0
