Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,0,1,2,0,1,2,dano_na_plantacao
SCROP80001,6.3496042078727974,0,1,0.7191210444816724,-1.542171858514056,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
SCROP80002,6.565414427346138,0,1,-1.7895695803966807,-2.2062323782618214,2.449489742783178,0.0,1.0,0.0,1.0,0.0,0.0,0
SCROP80003,6.565414427346138,0,1,-0.6276715649250514,-1.1421098620087813,2.23606797749979,0.0,1.0,0.0,0.0,1.0,0.0,0
SCROP80004,6.565414427346138,0,1,-0.6276715649250514,-0.7636711966407022,2.6457513110645907,0.0,1.0,0.0,0.0,1.0,0.0,0
SCROP80005,6.565414427346138,0,1,-0.6276715649250514,-0.7636711966407022,1.4142135623730951,0.0,1.0,0.0,1.0,0.0,0.0,0
SCROP80006,6.565414427346138,0,1,0.4415956417165859,-1.542171858514056,2.6457513110645907,0.0,1.0,0.0,0.0,0.0,1.0,0
SCROP80007,6.775168952273312,0,1,-1.1275551723445036,-1.9733058719983068,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
SCROP80008,6.775168952273312,0,1,-0.2181412428614241,-0.7636711966407022,2.6457513110645907,0.0,1.0,0.0,0.0,1.0,0.0,0
SCROP80009,6.782422886028333,0,1,0.132613617542462,-1.439722161688139,3.4641016151377544,0.0,1.0,0.0,0.0,0.0,1.0,0
SCROP80010,6.775168952273312,0,1,0.4415956417165859,-0.8565833082416746,1.4142135623730951,0.0,1.0,0.0,0.0,0.0,1.0,0
SCROP80011,6.782422886028333,0,1,0.4415956417165859,-0.05264453801707921,1.7320508075688772,0.0,1.0,0.0,0.0,1.0,0.0,0
SCROP80012,6.782422886028333,0,1,0.9719694110322501,-0.7636711966407022,2.8284271247461903,0.0,1.0,0.0,0.0,1.0,0.0,0
SCROP80013,6.993190657180867,0,1,-0.2181412428614241,-1.0457240225664548,2.449489742783178,0.0,1.0,0.0,0.0,1.0,0.0,0
