Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
984,0,1,2,25,12.0,19,3,0
851,0,0,2,20,27.0,7,2,0
283,0,0,3,35,27.0,0,3,0
2542,0,0,3,15,50.0,0,2,2
850,0,1,2,30,14.0,24,2,0
448,0,0,2,5,21.0,6,3,0
2016,0,0,3,40,46.0,0,2,0
2267,0,0,3,30,57.0,0,3,1
1898,0,1,2,40,47.0,2,1,0
531,1,1,3,15,5.0,0,2,0
1132,0,1,3,30,48.0,0,2,0
3337,0,1,2,40,10.0,45,2,1
1212,1,0,2,60,23.0,18,2,0
1385,1,0,3,20,,0,2,1
915,0,0,2,40,,6,2,0
1898,1,0,1,0,0.0,0,2,1
488,0,0,2,40,25.0,14,1,0
1898,0,0,2,40,51.0,0,3,0
1056,0,1,2,15,11.0,22,1,0
2016,0,0,2,10,36.0,17,2,0
2541,0,0,2,60,45.0,12,1,0
851,0,1,2,20,39.0,1,3,0
851,0,1,2,30,24.0,19,3,0
1678,0,1,2,40,45.0,2,2,0
1056,0,0,2,35,29.0,8,1,0
1132,0,1,2,25,40.0,0,1,0
1898,0,1,2,10,6.0,36,2,0
1385,1,0,2,40,40.0,5,3,0
448,0,0,2,35,14.0,12,2,0
915,0,1,3,40,34.0,0,1,0
2138,0,0,2,40,27.0,13,2,0
2688,1,0,2,20,45.0,2,1,0
1785,1,1,3,20,45.0,0,2,1
150,0,0,3,15,18.0,0,2,0
2139,0,1,2,30,28.0,24,2,0
851,1,0,2,10,20.0,19,2,0
2542,0,0,2,25,18.0,36,3,1
411,0,0,2,50,22.0,1,1,0
1385,0,1,2,40,45.0,3,3,0
2688,0,0,2,50,34.0,22,3,0
1056,0,0,2,20,42.0,0,2,0
2015,0,0,2,15,35.0,14,2,0
1576,0,0,2,40,39.0,4,2,0
677,0,0,2,30,21.0,11,1,0
3516,0,0,2,20,35.0,28,2,0
1297,0,0,2,10,41.0,5,1,0
2267,1,0,2,15,,5,3,0
1132,1,0,2,10,10.0,8,1,0
3336,0,0,2,40,40.0,20,2,1
2999,1,0,3,10,,0,2,0
375,0,0,2,20,21.0,8,2,0
1785,0,0,2,40,22.0,16,3,0
915,1,0,2,40,30.0,7,2,0
3165,0,1,3,15,60.0,0,2,1
626,0,1,2,40,32.0,1,2,0
625,0,1,2,30,,19,1,1
168,0,1,2,10,8.0,3,2,1
984,0,0,2,60,38.0,7,2,0
2267,1,0,2,20,30.0,4,2,0
488,1,1,3,15,36.0,0,2,0
1898,0,1,2,5,20.0,32,2,0
1132,0,0,3,5,35.0,0,1,1
