Semanas_Utilizando,Semanas_Sem_Uso,Estimativa_de_Insetos,Doses_Semana,Tipo_de_Cultivo,Categoria_Pesticida,dano_na_plantacao
12.0,19,984,25,0,2,0
27.0,7,851,20,0,2,0
27.0,0,283,35,0,3,0
50.0,0,2542,15,0,3,2
14.0,24,850,30,0,2,0
21.0,6,448,5,0,2,0
46.0,0,2016,40,0,3,0
57.0,0,2267,30,0,3,1
47.0,2,1898,40,0,2,0
5.0,0,531,15,1,3,0
48.0,0,1132,30,0,3,0
10.0,45,3337,40,0,2,1
23.0,18,1212,60,1,2,0
,0,1385,20,1,3,1
,6,915,40,0,2,0
0.0,0,1898,0,1,1,1
25.0,14,488,40,0,2,0
51.0,0,1898,40,0,2,0
11.0,22,1056,15,0,2,0
36.0,17,2016,10,0,2,0
45.0,12,2541,60,0,2,0
39.0,1,851,20,0,2,0
24.0,19,851,30,0,2,0
45.0,2,1678,40,0,2,0
29.0,8,1056,35,0,2,0
40.0,0,1132,25,0,2,0
6.0,36,1898,10,0,2,0
40.0,5,1385,40,1,2,0
14.0,12,448,35,0,2,0
34.0,0,915,40,0,3,0
27.0,13,2138,40,0,2,0
45.0,2,2688,20,1,2,0
45.0,0,1785,20,1,3,1
18.0,0,150,15,0,3,0
28.0,24,2139,30,0,2,0
20.0,19,851,10,1,2,0
18.0,36,2542,25,0,2,1
22.0,1,411,50,0,2,0
45.0,3,1385,40,0,2,0
34.0,22,2688,50,0,2,0
42.0,0,1056,20,0,2,0
35.0,14,2015,15,0,2,0
39.0,4,1576,40,0,2,0
21.0,11,677,30,0,2,0
35.0,28,3516,20,0,2,0
41.0,5,1297,10,0,2,0
,5,2267,15,1,2,0
10.0,8,1132,10,1,2,0
40.0,20,3336,40,0,2,1
,0,2999,10,1,3,0
21.0,8,375,20,0,2,0
22.0,16,1785,40,0,2,0
30.0,7,915,40,1,2,0
60.0,0,3165,15,0,3,1
32.0,1,626,40,0,2,0
,19,625,30,0,2,1
8.0,3,168,10,0,2,1
38.0,7,984,60,0,2,0
30.0,4,2267,20,1,2,0
36.0,0,488,15,1,3,0
20.0,32,1898,5,0,2,0
35.0,0,1132,5,0,3,1
20.0,15,577,50,0,2,0
50.0,0,1898,5,0,3,1
20.0,20,1297,60,0,2,0
16.0,10,1212,20,0,2,0
14.0,24,1212,25,0,2,0
40.0,3,1297,5,0,2,1
30.0,19,2267,20,0,2,1
44.0,0,1212,35,0,2,0
22.0,0,531,25,0,3,1
47.0,0,1296,20,0,3,1
29.0,20,2541,40,0,2,0
37.0,7,1297,60,0,2,1
0.0,0,342,0,1,1,1
40.0,4,2401,10,1,2,0
23.0,15,1297,10,0,2,0
,18,531,60,0,2,0
25.0,2,789,30,0,2,0
28.0,13,1212,10,1,2,0
52.0,0,2840,10,0,3,0
30.0,20,1785,25,0,2,0
44.0,3,1478,20,0,2,0
12.0,11,984,40,0,2,0
37.0,2,1385,30,0,2,0
37.0,4,916,20,0,2,0
22.0,6,448,40,0,2,0
18.0,31,1385,40,0,2,0
25.0,7,1296,20,0,2,0
34.0,12,1212,30,0,2,0
37.0,16,1385,40,0,2,0
20.0,3,342,40,0,2,0
49.0,0,3895,40,1,3,1
,11,1385,30,0,2,0
12.0,20,626,5,0,2,0
36.0,5,1385,10,1,2,0
45.0,0,2267,30,1,3,0
36.0,0,984,30,1,3,1
24.0,4,851,30,1,2,0
23.0,14,1132,30,0,2,0
20.0,17,915,5,0,2,0
20.0,5,488,10,1,2,0
8.0,0,577,30,0,3,0
,0,1212,10,1,3,0
25.0,14,1212,20,1,2,0
49.0,0,2016,10,1,3,1
0.0,0,2138,0,0,1,1
0.0,0,1132,0,0,1,1
26.0,14,984,20,0,2,1
29.0,0,448,40,0,3,0
23.0,0,577,40,0,3,0
20.0,34,3336,20,0,2,0
43.0,0,1576,20,0,3,1
29.0,11,1678,30,1,2,0
12.0,6,188,20,0,2,0
17.0,31,1898,50,0,2,0
28.0,0,489,30,0,3,0
17.0,21,915,20,0,2,0
34.0,3,1297,30,0,2,0
17.0,22,1056,20,0,2,0
18.0,31,2138,15,0,2,0
13.0,33,1576,10,1,2,0
9.0,0,731,15,1,3,0
9.0,28,2402,15,1,2,0
27.0,15,915,40,0,2,0
34.0,5,1132,25,0,2,1
34.0,18,2688,30,0,2,0
20.0,11,626,40,0,2,0
40.0,2,1056,15,0,2,0
30.0,15,1575,60,0,2,0
22.0,20,1132,40,0,2,0
50.0,0,2015,20,0,3,2
9.0,26,984,20,0,2,0
30.0,0,984,70,0,3,0
12.0,20,984,20,0,2,0
35.0,6,1212,10,1,2,0
14.0,25,1212,20,0,2,0
31.0,0,531,5,1,3,1
40.0,11,3337,20,0,2,1
5.0,22,1478,10,0,2,0
6.0,24,851,20,0,2,0
50.0,10,3164,20,0,2,2
