Semanas_Utilizando,Semanas_Sem_Uso,Estimativa_de_Insetos,Doses_Semana,Tipo_de_Cultivo,Categoria_Pesticida,dano_na_plantacao
0.0,1.0,12.0,19.0,984.0,25.0,0
0.0,1.0,27.0,7.0,851.0,20.0,0
0.0,2.0,27.0,0.0,283.0,35.0,0
0.0,2.0,50.0,0.0,2542.0,15.0,2
0.0,1.0,14.0,24.0,850.0,30.0,0
0.0,1.0,21.0,6.0,448.0,5.0,0
0.0,2.0,46.0,0.0,2016.0,40.0,0
0.0,2.0,57.0,0.0,2267.0,30.0,1
0.0,1.0,47.0,2.0,1898.0,40.0,0
1.0,2.0,5.0,0.0,531.0,15.0,0
0.0,2.0,48.0,0.0,1132.0,30.0,0
0.0,1.0,10.0,45.0,3337.0,40.0,1
1.0,1.0,23.0,18.0,1212.0,60.0,0
1.0,2.0,28.0,0.0,1385.0,20.0,1
0.0,1.0,28.0,6.0,915.0,40.0,0
1.0,0.0,0.0,0.0,1898.0,0.0,1
0.0,1.0,25.0,14.0,488.0,40.0,0
0.0,1.0,51.0,0.0,1898.0,40.0,0
0.0,1.0,11.0,22.0,1056.0,15.0,0
0.0,1.0,36.0,17.0,2016.0,10.0,0
0.0,1.0,45.0,12.0,2541.0,60.0,0
0.0,1.0,39.0,1.0,851.0,20.0,0
0.0,1.0,24.0,19.0,851.0,30.0,0
0.0,1.0,45.0,2.0,1678.0,40.0,0
0.0,1.0,29.0,8.0,1056.0,35.0,0
0.0,1.0,40.0,0.0,1132.0,25.0,0
0.0,1.0,6.0,36.0,1898.0,10.0,0
1.0,1.0,40.0,5.0,1385.0,40.0,0
0.0,1.0,14.0,12.0,448.0,35.0,0
0.0,2.0,34.0,0.0,915.0,40.0,0
0.0,1.0,27.0,13.0,2138.0,40.0,0
1.0,1.0,45.0,2.0,2688.0,20.0,0
1.0,2.0,45.0,0.0,1785.0,20.0,1
0.0,2.0,18.0,0.0,150.0,15.0,0
0.0,1.0,28.0,24.0,2139.0,30.0,0
1.0,1.0,20.0,19.0,851.0,10.0,0
0.0,1.0,18.0,36.0,2542.0,25.0,1
0.0,1.0,22.0,1.0,411.0,50.0,0
0.0,1.0,45.0,3.0,1385.0,40.0,0
0.0,1.0,34.0,22.0,2688.0,50.0,0
0.0,1.0,42.0,0.0,1056.0,20.0,0
0.0,1.0,35.0,14.0,2015.0,15.0,0
0.0,1.0,39.0,4.0,1576.0,40.0,0
0.0,1.0,21.0,11.0,677.0,30.0,0
0.0,1.0,35.0,28.0,3516.0,20.0,0
0.0,1.0,41.0,5.0,1297.0,10.0,0
1.0,1.0,28.0,5.0,2267.0,15.0,0
1.0,1.0,10.0,8.0,1132.0,10.0,0
0.0,1.0,40.0,20.0,3336.0,40.0,1
1.0,2.0,28.0,0.0,2999.0,10.0,0
0.0,1.0,21.0,8.0,375.0,20.0,0
0.0,1.0,22.0,16.0,1785.0,40.0,0
1.0,1.0,30.0,7.0,915.0,40.0,0
0.0,2.0,60.0,0.0,3165.0,15.0,1
0.0,1.0,32.0,1.0,626.0,40.0,0
0.0,1.0,28.0,19.0,625.0,30.0,1
0.0,1.0,8.0,3.0,168.0,10.0,1
0.0,1.0,38.0,7.0,984.0,60.0,0
1.0,1.0,30.0,4.0,2267.0,20.0,0
1.0,2.0,36.0,0.0,488.0,15.0,0
0.0,1.0,20.0,32.0,1898.0,5.0,0
0.0,2.0,35.0,0.0,1132.0,5.0,1
0.0,1.0,20.0,15.0,577.0,50.0,0
0.0,2.0,50.0,0.0,1898.0,5.0,1
0.0,1.0,20.0,20.0,1297.0,60.0,0
0.0,1.0,16.0,10.0,1212.0,20.0,0
0.0,1.0,14.0,24.0,1212.0,25.0,0
0.0,1.0,40.0,3.0,1297.0,5.0,1
0.0,1.0,30.0,19.0,2267.0,20.0,1
0.0,1.0,44.0,0.0,1212.0,35.0,0
0.0,2.0,22.0,0.0,531.0,25.0,1
0.0,2.0,47.0,0.0,1296.0,20.0,1
0.0,1.0,29.0,20.0,2541.0,40.0,0
0.0,1.0,37.0,7.0,1297.0,60.0,1
1.0,0.0,0.0,0.0,342.0,0.0,1
1.0,1.0,40.0,4.0,2401.0,10.0,0
0.0,1.0,23.0,15.0,1297.0,10.0,0
0.0,1.0,28.0,18.0,531.0,60.0,0
0.0,1.0,25.0,2.0,789.0,30.0,0
1.0,1.0,28.0,13.0,1212.0,10.0,0
0.0,2.0,52.0,0.0,2840.0,10.0,0
0.0,1.0,30.0,20.0,1785.0,25.0,0
0.0,1.0,44.0,3.0,1478.0,20.0,0
0.0,1.0,12.0,11.0,984.0,40.0,0
0.0,1.0,37.0,2.0,1385.0,30.0,0
0.0,1.0,37.0,4.0,916.0,20.0,0
0.0,1.0,22.0,6.0,448.0,40.0,0
0.0,1.0,18.0,31.0,1385.0,40.0,0
0.0,1.0,25.0,7.0,1296.0,20.0,0
0.0,1.0,34.0,12.0,1212.0,30.0,0
0.0,1.0,37.0,16.0,1385.0,40.0,0
0.0,1.0,20.0,3.0,342.0,40.0,0
1.0,2.0,49.0,0.0,3895.0,40.0,1
0.0,1.0,28.0,11.0,1385.0,30.0,0
0.0,1.0,12.0,20.0,626.0,5.0,0
1.0,1.0,36.0,5.0,1385.0,10.0,0
1.0,2.0,45.0,0.0,2267.0,30.0,0
1.0,2.0,36.0,0.0,984.0,30.0,1
1.0,1.0,24.0,4.0,851.0,30.0,0
0.0,1.0,23.0,14.0,1132.0,30.0,0
0.0,1.0,20.0,17.0,915.0,5.0,0
1.0,1.0,20.0,5.0,488.0,10.0,0
0.0,2.0,8.0,0.0,577.0,30.0,0
1.0,2.0,28.0,0.0,1212.0,10.0,0
1.0,1.0,25.0,14.0,1212.0,20.0,0
1.0,2.0,49.0,0.0,2016.0,10.0,1
0.0,0.0,0.0,0.0,2138.0,0.0,1
0.0,0.0,0.0,0.0,1132.0,0.0,1
0.0,1.0,26.0,14.0,984.0,20.0,1
0.0,2.0,29.0,0.0,448.0,40.0,0
0.0,2.0,23.0,0.0,577.0,40.0,0
0.0,1.0,20.0,34.0,3336.0,20.0,0
0.0,2.0,43.0,0.0,1576.0,20.0,1
1.0,1.0,29.0,11.0,1678.0,30.0,0
0.0,1.0,12.0,6.0,188.0,20.0,0
0.0,1.0,17.0,31.0,1898.0,50.0,0
0.0,2.0,28.0,0.0,489.0,30.0,0
0.0,1.0,17.0,21.0,915.0,20.0,0
0.0,1.0,34.0,3.0,1297.0,30.0,0
0.0,1.0,17.0,22.0,1056.0,20.0,0
0.0,1.0,18.0,31.0,2138.0,15.0,0
1.0,1.0,13.0,33.0,1576.0,10.0,0
1.0,2.0,9.0,0.0,731.0,15.0,0
1.0,1.0,9.0,28.0,2402.0,15.0,0
0.0,1.0,27.0,15.0,915.0,40.0,0
0.0,1.0,34.0,5.0,1132.0,25.0,1
0.0,1.0,34.0,18.0,2688.0,30.0,0
0.0,1.0,20.0,11.0,626.0,40.0,0
0.0,1.0,40.0,2.0,1056.0,15.0,0
0.0,1.0,30.0,15.0,1575.0,60.0,0
0.0,1.0,22.0,20.0,1132.0,40.0,0
0.0,2.0,50.0,0.0,2015.0,20.0,2
0.0,1.0,9.0,26.0,984.0,20.0,0
0.0,2.0,30.0,0.0,984.0,70.0,0
0.0,1.0,12.0,20.0,984.0,20.0,0
1.0,1.0,35.0,6.0,1212.0,10.0,0
0.0,1.0,14.0,25.0,1212.0,20.0,0
1.0,2.0,31.0,0.0,531.0,5.0,1
0.0,1.0,40.0,11.0,3337.0,20.0,1
0.0,1.0,5.0,22.0,1478.0,10.0,0
0.0,1.0,6.0,24.0,851.0,20.0,0
0.0,1.0,50.0,10.0,3164.0,20.0,2
1.0,1.0,42.0,1.0,1056.0,30.0,0
0.0,1.0,21.0,5.0,577.0,40.0,0
0.0,1.0,25.0,21.0,984.0,10.0,0
0.0,1.0,42.0,4.0,1212.0,40.0,0
0.0,1.0,18.0,29.0,1385.0,25.0,0
0.0,1.0,14.0,3.0,448.0,20.0,0
0.0,1.0,15.0,14.0,448.0,45.0,1
1.0,2.0,28.0,0.0,531.0,20.0,0
0.0,1.0,10.0,18.0,677.0,20.0,0
0.0,1.0,17.0,13.0,448.0,20.0,0
0.0,1.0,28.0,8.0,2840.0,30.0,0
0.0,1.0,30.0,2.0,915.0,30.0,0
0.0,1.0,28.0,0.0,232.0,20.0,0
0.0,1.0,30.0,6.0,1212.0,10.0,0
1.0,1.0,40.0,2.0,1575.0,25.0,0
0.0,2.0,37.0,0.0,1385.0,35.0,0
0.0,2.0,26.0,0.0,984.0,60.0,0
0.0,2.0,47.0,0.0,1212.0,5.0,0
0.0,1.0,48.0,3.0,1898.0,20.0,1
0.0,1.0,28.0,32.0,1576.0,90.0,0
1.0,1.0,43.0,2.0,1898.0,20.0,0
0.0,1.0,35.0,16.0,2015.0,35.0,0
0.0,2.0,40.0,0.0,1056.0,20.0,1
0.0,1.0,26.0,3.0,1056.0,20.0,0
1.0,0.0,0.0,0.0,1296.0,0.0,2
0.0,1.0,21.0,15.0,984.0,40.0,2
0.0,1.0,38.0,7.0,1056.0,40.0,0
0.0,1.0,28.0,38.0,2267.0,10.0,0
0.0,1.0,25.0,18.0,677.0,30.0,0
1.0,1.0,12.0,1.0,188.0,20.0,0
0.0,1.0,41.0,10.0,1576.0,20.0,0
0.0,2.0,31.0,0.0,851.0,20.0,0
0.0,1.0,27.0,0.0,312.0,20.0,0
0.0,1.0,21.0,16.0,1898.0,30.0,0
0.0,0.0,0.0,0.0,410.0,0.0,1
1.0,2.0,5.0,0.0,375.0,5.0,0
0.0,2.0,34.0,0.0,851.0,20.0,1
0.0,1.0,18.0,14.0,1678.0,20.0,0
1.0,1.0,18.0,10.0,732.0,10.0,0
0.0,1.0,24.0,19.0,1478.0,20.0,1
1.0,2.0,37.0,0.0,577.0,50.0,0
0.0,1.0,38.0,13.0,1576.0,40.0,0
0.0,1.0,43.0,6.0,2267.0,15.0,0
0.0,1.0,11.0,8.0,488.0,30.0,0
0.0,1.0,22.0,20.0,2016.0,10.0,0
0.0,1.0,28.0,16.0,625.0,60.0,0
0.0,1.0,28.0,16.0,1385.0,60.0,0
1.0,1.0,27.0,14.0,851.0,40.0,0
0.0,1.0,25.0,25.0,1785.0,5.0,0
0.0,1.0,24.0,9.0,531.0,15.0,0
0.0,1.0,28.0,42.0,3516.0,15.0,0
0.0,2.0,48.0,0.0,2015.0,10.0,0
1.0,1.0,16.0,10.0,625.0,20.0,0
0.0,1.0,32.0,13.0,1385.0,20.0,0
0.0,1.0,42.0,7.0,2016.0,15.0,0
1.0,2.0,32.0,0.0,732.0,10.0,1
0.0,1.0,25.0,19.0,1212.0,60.0,0
0.0,1.0,28.0,22.0,732.0,60.0,0
0.0,1.0,8.0,32.0,1678.0,20.0,0
1.0,2.0,28.0,0.0,375.0,30.0,0
0.0,1.0,16.0,8.0,342.0,20.0,0
1.0,2.0,27.0,0.0,2267.0,15.0,1
0.0,1.0,27.0,2.0,626.0,20.0,0
0.0,2.0,33.0,0.0,410.0,55.0,0
0.0,1.0,30.0,3.0,790.0,20.0,0
0.0,1.0,28.0,4.0,1212.0,10.0,0
0.0,1.0,12.0,5.0,410.0,5.0,0
0.0,1.0,13.0,19.0,625.0,10.0,0
0.0,1.0,21.0,8.0,790.0,30.0,0
0.0,1.0,12.0,16.0,626.0,5.0,0
0.0,1.0,27.0,21.0,1385.0,40.0,0
1.0,1.0,28.0,2.0,342.0,50.0,0
0.0,1.0,28.0,6.0,2138.0,10.0,0
0.0,1.0,25.0,19.0,2542.0,15.0,0
1.0,1.0,20.0,14.0,984.0,10.0,0
1.0,1.0,36.0,3.0,1212.0,40.0,1
0.0,1.0,28.0,20.0,789.0,75.0,0
0.0,2.0,38.0,0.0,489.0,35.0,0
0.0,2.0,41.0,0.0,2015.0,10.0,1
0.0,1.0,29.0,10.0,1785.0,15.0,0
0.0,1.0,38.0,10.0,1678.0,30.0,0
0.0,2.0,18.0,0.0,150.0,30.0,0
0.0,1.0,33.0,17.0,1576.0,60.0,0
1.0,2.0,37.0,0.0,1478.0,5.0,0
1.0,1.0,10.0,13.0,1132.0,5.0,0
0.0,1.0,16.0,18.0,1212.0,60.0,0
0.0,1.0,21.0,25.0,1898.0,10.0,0
1.0,2.0,28.0,0.0,1785.0,30.0,0
0.0,2.0,39.0,0.0,1678.0,50.0,2
0.0,1.0,19.0,16.0,677.0,45.0,0
0.0,1.0,11.0,28.0,1297.0,20.0,0
0.0,1.0,19.0,32.0,2016.0,10.0,0
0.0,1.0,35.0,15.0,1678.0,50.0,0
0.0,2.0,33.0,0.0,410.0,35.0,0
0.0,1.0,16.0,22.0,1132.0,15.0,0
0.0,1.0,10.0,15.0,577.0,10.0,0
0.0,2.0,48.0,0.0,1575.0,30.0,1
0.0,1.0,20.0,32.0,2015.0,40.0,1
0.0,2.0,48.0,0.0,2138.0,30.0,1
0.0,2.0,38.0,0.0,851.0,70.0,0
0.0,1.0,36.0,20.0,3337.0,20.0,0
0.0,1.0,34.0,2.0,1385.0,30.0,0
0.0,0.0,0.0,0.0,1785.0,0.0,2
0.0,2.0,22.0,0.0,531.0,60.0,0
0.0,1.0,20.0,30.0,1786.0,20.0,0
0.0,1.0,42.0,2.0,984.0,60.0,1
0.0,1.0,35.0,7.0,731.0,60.0,0
0.0,1.0,20.0,32.0,2016.0,20.0,0
0.0,1.0,16.0,27.0,1297.0,20.0,0
1.0,2.0,33.0,0.0,677.0,60.0,0
0.0,1.0,24.0,8.0,375.0,40.0,0
1.0,1.0,20.0,4.0,1056.0,10.0,0
1.0,1.0,50.0,7.0,1898.0,25.0,0
0.0,1.0,50.0,2.0,2267.0,30.0,1
0.0,1.0,27.0,15.0,1385.0,60.0,1
0.0,1.0,26.0,5.0,1478.0,30.0,0
1.0,2.0,13.0,0.0,577.0,20.0,0
0.0,2.0,48.0,0.0,1576.0,5.0,0
0.0,1.0,18.0,17.0,531.0,25.0,0
0.0,1.0,28.0,12.0,851.0,55.0,0
0.0,1.0,18.0,6.0,283.0,25.0,0
1.0,1.0,15.0,16.0,577.0,5.0,0
0.0,2.0,46.0,0.0,2267.0,10.0,1
0.0,1.0,38.0,13.0,2139.0,80.0,0
0.0,2.0,41.0,0.0,984.0,30.0,2
0.0,1.0,22.0,20.0,1296.0,15.0,0
0.0,1.0,28.0,20.0,2267.0,30.0,1
0.0,1.0,36.0,4.0,984.0,80.0,0
1.0,1.0,15.0,0.0,312.0,20.0,0
0.0,1.0,25.0,23.0,1575.0,10.0,1
0.0,1.0,19.0,5.0,375.0,40.0,0
0.0,1.0,22.0,7.0,411.0,10.0,0
0.0,1.0,27.0,23.0,1576.0,45.0,0
0.0,2.0,59.0,0.0,2542.0,40.0,0
0.0,1.0,23.0,25.0,1785.0,60.0,0
0.0,1.0,27.0,12.0,915.0,25.0,0
0.0,2.0,27.0,0.0,851.0,60.0,0
1.0,2.0,11.0,0.0,677.0,20.0,0
1.0,1.0,15.0,12.0,851.0,10.0,0
0.0,1.0,26.0,22.0,1678.0,40.0,0
0.0,1.0,34.0,12.0,1056.0,60.0,0
1.0,1.0,49.0,1.0,1678.0,30.0,0
1.0,1.0,18.0,14.0,577.0,40.0,0
