,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
0,188,1,0,1,0,0.0,0,1,0
1,209,1,0,1,0,0.0,0,2,1
2,257,1,0,1,0,0.0,0,2,1
3,257,1,1,1,0,0.0,0,2,1
4,342,1,0,1,0,0.0,0,2,1
7,577,1,0,1,0,0.0,0,1,2
8,731,0,0,1,0,0.0,0,2,0
9,1132,1,0,1,0,0.0,0,1,2
11,1575,0,0,1,0,0.0,0,1,1
12,1575,0,1,1,0,0.0,0,2,1
13,1575,1,1,1,0,0.0,0,2,1
14,1575,1,1,1,0,0.0,0,2,2
15,1785,1,1,1,0,0.0,0,2,1
16,2138,0,1,1,0,0.0,0,1,1
18,2401,1,1,1,0,0.0,0,2,1
19,2401,1,1,1,0,0.0,0,2,1
20,2999,0,1,1,0,0.0,0,3,1
21,3516,1,0,1,0,0.0,0,2,0
22,3895,1,1,1,0,0.0,0,1,1
23,4096,1,1,1,0,0.0,0,2,1
24,150,0,0,3,30,26.0,0,2,0
25,151,0,0,3,40,20.0,0,1,0
26,150,0,0,3,60,15.0,0,2,0
27,168,0,1,3,20,14.0,0,2,0
28,168,0,1,3,20,15.0,0,2,1
29,188,0,0,3,25,19.0,0,1,0
30,188,0,1,3,40,24.0,0,3,0
31,209,0,1,3,20,8.0,0,3,0
32,232,0,0,3,45,23.0,0,2,0
33,231,0,1,3,30,25.0,0,2,0
34,256,0,0,3,20,28.0,0,3,0
36,256,0,0,3,40,29.0,0,1,0
37,283,0,0,3,25,22.0,0,1,0
38,283,0,0,3,50,24.0,0,2,0
39,283,0,1,3,15,24.0,0,3,0
40,283,0,1,3,45,20.0,0,1,0
41,312,0,0,3,10,20.0,0,3,0
42,311,0,0,3,20,25.0,0,1,0
43,312,0,1,3,15,21.0,0,2,0
44,312,0,1,3,15,24.0,0,2,0
45,342,0,0,3,60,28.0,0,2,0
46,342,0,1,3,40,17.0,0,3,0
47,375,0,0,3,50,30.0,0,2,0
48,375,0,1,3,5,22.0,0,1,0
49,375,0,1,3,20,23.0,0,2,0
50,375,0,1,3,10,25.0,0,3,1
52,410,0,0,3,50,35.0,0,2,0
53,410,0,0,3,20,32.0,0,3,1
54,410,0,1,3,5,24.0,0,3,0
55,448,0,0,3,5,27.0,0,1,0
56,448,0,0,3,20,16.0,0,3,0
57,448,0,0,3,30,24.0,0,2,0
58,448,0,0,3,35,28.0,0,1,0
61,448,0,1,3,20,32.0,0,2,0
62,448,0,1,3,25,16.0,0,1,0
63,448,0,1,3,25,21.0,0,2,0
64,448,0,1,3,40,25.0,0,1,0
66,448,0,1,3,60,31.0,0,1,0
67,448,0,1,3,70,28.0,0,3,0
68,488,0,0,3,15,32.0,0,3,0
69,488,0,0,3,25,27.0,0,3,0
70,488,0,0,3,30,26.0,0,2,0
71,488,0,0,3,35,30.0,0,3,0
72,488,0,0,3,60,33.0,0,1,0
73,488,0,0,3,10,17.0,0,1,1
74,488,0,0,3,20,33.0,0,1,1
75,488,0,1,3,10,33.0,0,2,0
76,488,0,1,3,20,32.0,0,2,0
77,489,0,1,3,25,24.0,0,1,0
78,488,0,1,3,60,32.0,0,1,1
79,531,0,0,3,5,27.0,0,1,0
81,531,0,0,3,50,30.0,0,2,0
82,531,0,0,3,20,34.0,0,1,1
83,531,0,1,3,5,17.0,0,1,0
84,531,0,1,3,20,33.0,0,1,0
85,531,0,1,3,60,19.0,0,2,0
86,577,0,0,3,20,33.0,0,2,0
87,577,0,0,3,50,33.0,0,3,0
88,577,0,1,3,30,29.0,0,2,0
89,577,0,1,3,30,39.0,0,1,0
90,577,0,1,3,55,33.0,0,1,0
91,577,0,1,3,60,29.0,0,1,0
92,577,0,1,3,15,34.0,0,2,1
93,626,0,0,3,20,38.0,0,2,0
94,625,0,0,3,30,42.0,0,3,0
95,625,0,0,3,40,15.0,0,1,0
96,625,0,0,3,50,40.0,0,2,0
97,626,0,1,3,5,32.0,0,1,0
98,625,0,1,3,20,23.0,0,3,0
99,625,0,1,3,25,32.0,0,3,0
100,626,0,1,3,80,32.0,0,2,0
101,626,0,1,3,20,31.0,0,2,1
102,625,0,1,3,10,33.0,0,2,1
103,625,0,1,3,30,29.0,0,1,2
104,677,0,0,3,15,41.0,0,3,0
105,677,0,0,3,20,41.0,0,2,0
106,677,0,0,3,50,35.0,0,2,1
107,677,0,1,3,35,25.0,0,2,0
108,677,0,1,3,40,31.0,0,2,0
109,677,0,1,3,50,38.0,0,2,0
110,732,0,0,3,20,36.0,0,2,1
111,732,0,0,3,40,31.0,0,2,1
112,732,0,0,3,50,30.0,0,2,2
113,731,0,1,3,10,16.0,0,3,0
114,731,0,1,3,10,34.0,0,1,0
115,731,0,1,3,60,40.0,0,2,0
116,732,0,1,3,30,36.0,0,3,1
117,789,0,0,3,40,44.0,0,3,0
118,789,0,0,3,50,30.0,0,2,0
119,790,0,0,3,60,40.0,0,2,0
120,789,0,0,3,25,34.0,0,1,1
121,790,0,0,3,20,33.0,0,2,1
122,789,0,0,3,60,40.0,0,1,1
123,789,0,1,3,25,27.0,0,2,0
124,790,0,1,3,40,28.0,0,1,0
125,789,0,1,3,30,30.0,0,1,1
127,851,0,0,3,20,32.0,0,3,0
128,851,0,0,3,20,34.0,0,3,0
129,851,0,0,3,25,42.0,0,2,0
130,851,0,0,3,60,42.0,0,1,1
131,851,0,1,3,15,27.0,0,3,0
