,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada,dano_na_plantacao
0,SCROP00001,188,1,0,1,0,0.0,0,1,0
1,SCROP00002,209,1,0,1,0,0.0,0,2,1
2,SCROP00003,257,1,0,1,0,0.0,0,2,1
3,SCROP00004,257,1,1,1,0,0.0,0,2,1
4,SCROP00005,342,1,0,1,0,0.0,0,2,1
5,SCROP00006,448,0,1,1,0,,0,2,1
6,SCROP00007,448,0,1,1,0,,0,2,1
7,SCROP00008,577,1,0,1,0,0.0,0,1,2
8,SCROP00009,731,0,0,1,0,0.0,0,2,0
9,SCROP00010,1132,1,0,1,0,0.0,0,1,2
10,SCROP00011,1212,1,0,1,0,,0,3,0
11,SCROP00012,1575,0,0,1,0,0.0,0,1,1
12,SCROP00013,1575,0,1,1,0,0.0,0,2,1
13,SCROP00014,1575,1,1,1,0,0.0,0,2,1
14,SCROP00015,1575,1,1,1,0,0.0,0,2,2
15,SCROP00016,1785,1,1,1,0,0.0,0,2,1
16,SCROP00017,2138,0,1,1,0,0.0,0,1,1
17,SCROP00018,2401,0,1,1,0,,0,1,1
18,SCROP00019,2401,1,1,1,0,0.0,0,2,1
19,SCROP00020,2401,1,1,1,0,0.0,0,2,1
20,SCROP00021,2999,0,1,1,0,0.0,0,3,1
21,SCROP00022,3516,1,0,1,0,0.0,0,2,0
22,SCROP00023,3895,1,1,1,0,0.0,0,1,1
23,SCROP00024,4096,1,1,1,0,0.0,0,2,1
24,SCROP00025,150,0,0,3,30,26.0,0,2,0
25,SCROP00026,151,0,0,3,40,20.0,0,1,0
26,SCROP00027,150,0,0,3,60,15.0,0,2,0
27,SCROP00028,168,0,1,3,20,14.0,0,2,0
28,SCROP00029,168,0,1,3,20,15.0,0,2,1
29,SCROP00030,188,0,0,3,25,19.0,0,1,0
30,SCROP00031,188,0,1,3,40,24.0,0,3,0
31,SCROP00032,209,0,1,3,20,8.0,0,3,0
32,SCROP00033,232,0,0,3,45,23.0,0,2,0
33,SCROP00034,231,0,1,3,30,25.0,0,2,0
34,SCROP00035,256,0,0,3,20,28.0,0,3,0
35,SCROP00036,257,0,0,3,30,,0,2,0
36,SCROP00037,256,0,0,3,40,29.0,0,1,0
37,SCROP00038,283,0,0,3,25,22.0,0,1,0
38,SCROP00039,283,0,0,3,50,24.0,0,2,0
39,SCROP00040,283,0,1,3,15,24.0,0,3,0
40,SCROP00041,283,0,1,3,45,20.0,0,1,0
41,SCROP00042,312,0,0,3,10,20.0,0,3,0
42,SCROP00043,311,0,0,3,20,25.0,0,1,0
43,SCROP00044,312,0,1,3,15,21.0,0,2,0
44,SCROP00045,312,0,1,3,15,24.0,0,2,0
45,SCROP00046,342,0,0,3,60,28.0,0,2,0
46,SCROP00047,342,0,1,3,40,17.0,0,3,0
47,SCROP00048,375,0,0,3,50,30.0,0,2,0
48,SCROP00049,375,0,1,3,5,22.0,0,1,0
49,SCROP00050,375,0,1,3,20,23.0,0,2,0
50,SCROP00051,375,0,1,3,10,25.0,0,3,1
51,SCROP00052,411,0,0,3,30,,0,2,0
52,SCROP00053,410,0,0,3,50,35.0,0,2,0
53,SCROP00054,410,0,0,3,20,32.0,0,3,1
54,SCROP00055,410,0,1,3,5,24.0,0,3,0
55,SCROP00056,448,0,0,3,5,27.0,0,1,0
56,SCROP00057,448,0,0,3,20,16.0,0,3,0
57,SCROP00058,448,0,0,3,30,24.0,0,2,0
58,SCROP00059,448,0,0,3,35,28.0,0,1,0
59,SCROP00060,448,0,0,3,10,,0,2,1
60,SCROP00061,448,0,0,3,30,,0,3,1
61,SCROP00062,448,0,1,3,20,32.0,0,2,0
62,SCROP00063,448,0,1,3,25,16.0,0,1,0
63,SCROP00064,448,0,1,3,25,21.0,0,2,0
64,SCROP00065,448,0,1,3,40,25.0,0,1,0
65,SCROP00066,448,0,1,3,45,,0,2,0
66,SCROP00067,448,0,1,3,60,31.0,0,1,0
67,SCROP00068,448,0,1,3,70,28.0,0,3,0
68,SCROP00069,488,0,0,3,15,32.0,0,3,0
69,SCROP00070,488,0,0,3,25,27.0,0,3,0
70,SCROP00071,488,0,0,3,30,26.0,0,2,0
71,SCROP00072,488,0,0,3,35,30.0,0,3,0
72,SCROP00073,488,0,0,3,60,33.0,0,1,0
73,SCROP00074,488,0,0,3,10,17.0,0,1,1
74,SCROP00075,488,0,0,3,20,33.0,0,1,1
75,SCROP00076,488,0,1,3,10,33.0,0,2,0
76,SCROP00077,488,0,1,3,20,32.0,0,2,0
77,SCROP00078,489,0,1,3,25,24.0,0,1,0
78,SCROP00079,488,0,1,3,60,32.0,0,1,1
79,SCROP00080,531,0,0,3,5,27.0,0,1,0
80,SCROP00081,531,0,0,3,20,,0,1,0
81,SCROP00082,531,0,0,3,50,30.0,0,2,0
82,SCROP00083,531,0,0,3,20,34.0,0,1,1
83,SCROP00084,531,0,1,3,5,17.0,0,1,0
