,Identificador_Agricultor,Estimativa_de_Insetos,Tipo_de_Cultivo,Tipo_de_Solo,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,Temporada
80000,SCROP80001,256,0,1,2,35,11.0,9,1
80001,SCROP80002,283,0,1,2,5,5.0,6,1
80002,SCROP80003,283,0,1,2,15,15.0,5,2
80003,SCROP80004,283,0,1,2,15,,7,2
80004,SCROP80005,283,0,1,2,15,19.0,2,1
80005,SCROP80006,283,0,1,2,30,11.0,7,3
80006,SCROP80007,311,0,1,2,10,7.0,9,1
80007,SCROP80008,311,0,1,2,20,19.0,7,2
80008,SCROP80009,312,0,1,2,25,12.0,12,3
80009,SCROP80010,311,0,1,2,30,18.0,2,3
80010,SCROP80011,312,0,1,2,30,27.0,3,2
80011,SCROP80012,312,0,1,2,40,19.0,8,2
80012,SCROP80013,342,0,1,2,20,16.0,6,2
80013,SCROP80014,342,0,1,2,20,22.0,2,3
80014,SCROP80015,342,0,1,2,25,15.0,8,2
80015,SCROP80016,342,0,1,2,30,20.0,5,1
80016,SCROP80017,342,0,1,2,30,20.0,9,3
80017,SCROP80018,342,0,1,2,40,10.0,1,3
80018,SCROP80019,375,0,1,2,20,10.0,13,1
80019,SCROP80020,375,0,1,2,20,12.0,7,3
80020,SCROP80021,375,0,1,2,20,15.0,9,1
80021,SCROP80022,375,0,1,2,20,17.0,6,2
80022,SCROP80023,375,0,1,2,25,15.0,11,1
80023,SCROP80024,375,0,1,2,30,13.0,13,2
80024,SCROP80025,410,0,1,2,20,20.0,5,2
80025,SCROP80026,410,0,1,2,80,,6,1
80026,SCROP80027,411,0,1,2,10,16.0,12,3
80027,SCROP80028,410,0,1,2,10,21.0,7,2
80028,SCROP80029,410,0,1,2,15,24.0,6,3
80029,SCROP80030,410,0,1,2,20,15.0,1,3
80030,SCROP80031,410,0,1,2,20,23.0,5,3
80031,SCROP80032,410,0,1,2,20,25.0,5,1
80032,SCROP80033,411,0,1,2,30,13.0,15,1
80033,SCROP80034,410,0,1,2,30,17.0,9,1
80034,SCROP80035,411,0,1,2,30,18.0,5,3
80035,SCROP80036,410,0,1,2,35,17.0,15,3
80036,SCROP80037,410,0,1,2,35,30.0,4,1
80037,SCROP80038,410,0,1,2,40,15.0,12,2
80038,SCROP80039,410,0,1,2,40,24.0,3,1
80039,SCROP80040,410,0,1,2,40,25.0,0,1
80040,SCROP80041,411,0,1,2,45,28.0,2,2
80041,SCROP80042,411,0,1,2,50,16.0,7,1
80042,SCROP80043,410,0,1,2,60,20.0,7,3
80043,SCROP80044,410,0,1,2,40,9.0,13,2
80044,SCROP80045,448,0,1,2,5,12.0,16,1
80045,SCROP80046,448,0,1,2,10,,16,2
80046,SCROP80047,448,0,1,2,10,16.0,12,1
80047,SCROP80048,448,0,1,2,10,23.0,4,3
80048,SCROP80049,448,0,1,2,15,14.0,12,1
80049,SCROP80050,448,0,1,2,20,20.0,13,2
