,Estimativa_de_Insetos,Categoria_Pesticida,Doses_Semana,Semanas_Utilizando,Semanas_Sem_Uso,dano_na_plantacao
0,256,2,35,11.0,9,0
1,283,2,5,5.0,6,0
2,283,2,15,15.0,5,0
4,283,2,15,19.0,2,0
5,283,2,30,11.0,7,0
6,311,2,10,7.0,9,0
7,311,2,20,19.0,7,0
8,312,2,25,12.0,12,0
9,311,2,30,18.0,2,0
10,312,2,30,27.0,3,0
11,312,2,40,19.0,8,0
12,342,2,20,16.0,6,0
13,342,2,20,22.0,2,0
14,342,2,25,15.0,8,0
15,342,2,30,20.0,5,0
16,342,2,30,20.0,9,0
17,342,2,40,10.0,1,0
18,375,2,20,10.0,13,0
19,375,2,20,12.0,7,0
20,375,2,20,15.0,9,0
21,375,2,20,17.0,6,0
22,375,2,25,15.0,11,0
23,375,2,30,13.0,13,0
24,410,2,20,20.0,5,0
26,411,2,10,16.0,12,0
27,410,2,10,21.0,7,0
28,410,2,15,24.0,6,0
29,410,2,20,15.0,1,0
30,410,2,20,23.0,5,0
31,410,2,20,25.0,5,0
32,411,2,30,13.0,15,0
33,410,2,30,17.0,9,0
34,411,2,30,18.0,5,0
35,410,2,35,17.0,15,0
36,410,2,35,30.0,4,0
37,410,2,40,15.0,12,0
38,410,2,40,24.0,3,0
39,410,2,40,25.0,0,0
40,411,2,45,28.0,2,0
41,411,2,50,16.0,7,0
42,410,2,60,20.0,7,0
43,410,2,40,9.0,13,0
44,448,2,5,12.0,16,0
46,448,2,10,16.0,12,0
47,448,2,10,23.0,4,0
48,448,2,15,14.0,12,0
49,448,2,20,20.0,13,0
50,448,2,20,26.0,2,0
51,448,2,20,28.0,2,0
52,448,2,20,28.0,3,0
53,448,2,20,31.0,2,0
54,448,2,25,13.0,14,0
55,448,2,25,15.0,6,0
56,448,2,30,25.0,0,0
58,448,2,30,25.0,7,0
59,448,2,40,16.0,13,0
60,448,2,40,18.0,8,0
61,448,2,40,30.0,1,0
62,448,2,40,36.0,2,0
63,488,2,5,20.0,12,0
64,488,2,5,10.0,16,0
65,488,2,5,16.0,16,0
66,488,2,5,17.0,14,0
67,488,2,5,23.0,6,0
68,488,2,15,5.0,17,0
69,488,2,15,20.0,11,0
