Identificador_Agricultor,dano_na_plantacao
SCROP80001,0
SCROP80002,0
SCROP80003,0
SCROP80004,1
SCROP80005,0
SCROP80006,0
SCROP80007,0
SCROP80008,0
SCROP80009,0
SCROP80010,0
SCROP80011,1
SCROP80012,0
SCROP80013,0
SCROP80014,0
SCROP80015,0
SCROP80016,0
SCROP80017,0
SCROP80018,0
SCROP80019,0
SCROP80020,0
SCROP80021,0
SCROP80022,0
SCROP80023,0
SCROP80024,0
SCROP80025,0
SCROP80026,0
SCROP80027,0
SCROP80028,0
SCROP80029,0
SCROP80030,0
SCROP80031,0
SCROP80032,0
SCROP80033,0
SCROP80034,0
SCROP80035,0
SCROP80036,0
SCROP80037,0
SCROP80038,0
SCROP80039,0
SCROP80040,0
SCROP80041,0
SCROP80042,0
SCROP80043,0
SCROP80044,0
SCROP80045,0
SCROP80046,0
SCROP80047,0
SCROP80048,0
SCROP80049,0
SCROP80050,0
SCROP80051,0
SCROP80052,0
SCROP80053,0
SCROP80054,1
SCROP80055,0
SCROP80056,0
SCROP80057,0
SCROP80058,0
SCROP80059,0
SCROP80060,0
SCROP80061,0
SCROP80062,0
SCROP80063,0
SCROP80064,0
SCROP80065,0
SCROP80066,0
SCROP80067,0
SCROP80068,0
SCROP80069,0
SCROP80070,0
SCROP80071,0
SCROP80072,0
SCROP80073,0
SCROP80074,0
SCROP80075,0
SCROP80076,0
SCROP80077,0
SCROP80078,0
SCROP80079,0
SCROP80080,0
SCROP80081,1
SCROP80082,0
SCROP80083,0
SCROP80084,0
SCROP80085,0
SCROP80086,0
SCROP80087,0
SCROP80088,0
SCROP80089,0
SCROP80090,0
SCROP80091,0
SCROP80092,0
SCROP80093,0
SCROP80094,0
SCROP80095,0
SCROP80096,0
SCROP80097,1
SCROP80098,0
SCROP80099,1
SCROP80100,0
SCROP80101,0
SCROP80102,0
SCROP80103,0
SCROP80104,0
SCROP80105,0
SCROP80106,0
SCROP80107,0
SCROP80108,0
SCROP80109,0
SCROP80110,0
SCROP80111,0
SCROP80112,0
SCROP80113,0
SCROP80114,0
SCROP80115,0
SCROP80116,0
SCROP80117,0
SCROP80118,0
SCROP80119,0
SCROP80120,0
SCROP80121,0
SCROP80122,0
SCROP80123,2
SCROP80124,0
SCROP80125,1
SCROP80126,0
SCROP80127,0
SCROP80128,0
SCROP80129,0
